02-06-2024	002:11:00	9fd70612-a408-4042-a6c5-6c6d925341b4	GET	 undefined	 /css/index.css
02-06-2024	002:12:53	7874a25b-bd9f-421a-b3ad-f5b95bff67b1	GET	 undefined	 /
02-06-2024	002:16:09	ca4800c2-534f-48d1-8d95-5d3ce4015a7d	GET	 undefined	 /
02-06-2024	002:22:57	f2e2fe9d-d9d8-483e-8ee7-3be3995afb01	GET	 undefined	 /
02-06-2024	004:33:11	c21c8aec-a618-42c9-b534-b0698f6a6010	GET	 undefined	 /
02-06-2024	004:33:15	e323d3be-4eea-4878-abad-11beb507c8b1	GET	 undefined	 /
02-06-2024	004:33:43	6e6f5446-a4eb-4abe-ada3-1534000119e1	GET	 undefined	 /
02-06-2024	004:33:43	bf806829-0ef9-47bc-9ee9-75cec9aa9116	GET	 undefined	 /favicon.ico
02-06-2024	004:36:14	fc52f211-a40a-4f93-8f94-9f33018355f2	GET	 undefined	 /
02-06-2024	004:44:14	b17ab9ad-2762-4bc3-88e9-845b74821f4f	GET	 undefined	 /
02-06-2024	004:45:31	9569e2f4-7cd8-4734-be4a-d4b6ae10137c	GET	 undefined	 /
02-06-2024	005:40:26	8758196a-3377-4ad6-a451-f482c75983e5	GET	 undefined	 /file
02-06-2024	005:41:09	d069157c-e37b-417a-89d9-2942459b4c27	GET	 undefined	 /views
02-06-2024	005:41:16	d3c3fc4c-f4cc-4e1b-8ae2-e05647a84907	GET	 undefined	 /views/file
02-06-2024	005:41:20	18bac88e-ab2a-40fc-92ef-fa6656ea6b20	GET	 undefined	 /views/files
02-06-2024	005:41:26	334679b7-8d1b-48e7-a1b2-828b328c6c74	GET	 undefined	 /views
02-06-2024	005:46:23	ee237586-d351-4e14-b8ef-bf6673698493	GET	 undefined	 /
02-06-2024	005:47:07	5f9ed6e5-2b28-4af2-85e2-7c9da875f1ac	GET	 undefined	 /
02-06-2024	005:47:13	74917d81-292b-4d8e-ae49-b8dd88ee0f39	GET	 undefined	 /old
02-06-2024	005:47:13	60e3c64b-d7b5-4b1f-ade0-f8c4d396341f	GET	 undefined	 /new.html
02-06-2024	006:47:43	0b1fa799-b907-4e67-9909-69ea27bc8478	GET	 undefined	 /employees
02-06-2024	006:48:20	fbf76123-bd9a-4057-8cdc-085ec5ca806e	GET	 undefined	 /employees/1
02-06-2024	006:48:48	da90335a-ceab-4a46-bd59-89cb53b16b00	POST	 undefined	 /employees
02-06-2024	006:51:59	0df7fd69-eb26-4971-b69c-bf28bf0434f6	POST	 undefined	 /employees
